borough,latitude,longitude
City of London,51.5155,-0.0922
City of Westminster,51.4973,-0.1372
Kensington and Chelsea,51.5018,-0.1921
Hammersmith and Fulham,51.4927,-0.2239
Wandsworth,51.4576,-0.191
Lambeth,51.4607,-0.1163
Southwark,51.5035,-0.0804
Tower Hamlets,51.5099,-0.0059
Hackney,51.545,-0.0553
Islington,51.5416,-0.1022
Camden,51.529,-0.1255
Brent,51.5588,-0.2817
Ealing,51.513,-0.3089
Hounslow,51.4675,-0.3622
Richmond upon Thames,51.4479,-0.326
Kingston upon Thames,51.4085,-0.3064
Merton,51.4014,-0.1958
Sutton,51.3618,-0.1945
Croydon,51.3714,-0.0992
Bromley,51.4039,0.0198
Lewisham,51.4415,-0.021
Greenwich,51.4892,0.0648
Bexley,51.4549,0.1505
Havering,51.5812,0.1837
Barking and Dagenham,51.5607,0.1557
Redbridge,51.559,0.0741
Newham,51.5207,0.0354
Waltham Forest,51.5908,-0.0134
Haringey,51.5907,-0.1119
Enfield,51.6538,-0.0799
Barnet,51.6252,-0.1517
Harrow,51.5898,-0.3346
Hillingdon,51.5441,-0.476
